"Gene ID","source_id","Organism","Input Ortholog(s)","Gene Name or Symbol"
"CNA00540","CNA00540-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00063","N/A"
"CNA00550","CNA00550-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00064","N/A"
"CNA00560","CNA00560-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00065","N/A"
"CNA00570","CNA00570-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00066","N/A"
"CNA00580","CNA00580-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00067","SSS1"
"CNA00590","CNA00590-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00068","N/A"
"CNA00600","CNA00600-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00069","N/A"
"CNA00610","CNA00610-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00070","N/A"
"CNA00620","CNA00620-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00072,CNAG_02927","N/A"
"CNA00630","CNA00630-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00073","N/A"
"CNA00640","CNA00640-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00074,CNAG_05443","PNS1"
"CNA00650","CNA00650-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00075","N/A"
"CNA00660","CNA00660-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00076","N/A"
"CNA00670","CNA00670-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00077,CNAG_01472","N/A"
"CNA00680","CNA00680-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00078","N/A"
"CNA00690","CNA00690-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00079","N/A"
"CNA00700","CNA00700-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00080","N/A"
"CNA00700","CNA00700-t26_2","Cryptococcus neoformans var. neoformans JEC21","CNAG_00080","N/A"
"CNA00710","CNA00710-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00081","N/A"
"CNA00720","CNA00720-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00082,CNAG_02231,CNAG_02358","CFD1"
"CNA00730","CNA00730-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00083","N/A"
"CNA00740","CNA00740-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00084","N/A"
"CNA00750","CNA00750-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00085","N/A"
"CNA00760","CNA00760-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00086","N/A"
"CNA00770","CNA00770-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00087","N/A"
"CNA00780","CNA00780-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00088","N/A"
"CNA00790","CNA00790-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00089","N/A"
"CNA00800","CNA00800-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00090","N/A"
"CNA00820","CNA00820-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00091","N/A"
"CNA00830","CNA00830-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00092","N/A"
"CNA00840","CNA00840-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00093","N/A"
"CNA00850","CNA00850-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00094","N/A"
"CNA00860","CNA00860-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00095","N/A"
"CNA00870","CNA00870-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00096","N/A"
"CNA00880","CNA00880-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00097,CNAG_00864,CNAG_00867,CNAG_04552,CNAG_05377,CNAG_05381,CNAG_05667","ITR1"
"CNA00890","CNA00890-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00098","N/A"
"CNA00900","CNA00900-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00099","N/A"
"CNA00910","CNA00910-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00100","N/A"
"CNA00920","CNA00920-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00101","N/A"
"CNA00930","CNA00930-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_07309","N/A"
"CNA00940","CNA00940-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_07310","N/A"
"CNA00950","CNA00950-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00104,CNAG_01117","N/A"
"CNA00960","CNA00960-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00105,CNAG_00161,CNAG_01954,CNAG_05534","N/A"
"CNA00970","CNA00970-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00106","TCO5"
"CNA00980","CNA00980-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00107","N/A"
"CNA00990","CNA00990-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00108","RVB1"
"CNA01000","CNA01000-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00109","N/A"
"CNA01010","CNA01010-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00110","N/A"
"CNA01020","CNA01020-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00111","N/A"
"CNA01030","CNA01030-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_07311","BRE2"
"CNA01050","CNA01050-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00115,CNAG_00269,CNAG_01558,CNAG_01949,CNAG_05658,CNAG_06977","N/A"
"CNA01060","CNA01060-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00116","N/A"
"CNA01070","CNA01070-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00117","ERG24"
"CNA01080","CNA01080-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00118","N/A"
"CNA01090","CNA01090-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00119","N/A"
"CNA01095","CNA01095-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00120","N/A"
"CNA01100","CNA01100-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00121,CNAG_01745","N/A"
"CNA01100","CNA01100-t26_2","Cryptococcus neoformans var. neoformans JEC21","CNAG_00121,CNAG_01745","N/A"
"CNA01120","CNA01120-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00122,CNAG_01940,CNAG_02189,CNAG_05264","N/A"
"CNA01130","CNA01130-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00123","N/A"
"CNA01140","CNA01140-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00124,CNAG_00701,CNAG_03644","CAS32"
"CNA01150","CNA01150-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00125","CRG1"
"CNA01160","CNA01160-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00126,CNAG_02000,CNAG_02925","N/A"
"CNA01170","CNA01170-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00129","N/A"
"CNA01180","CNA01180-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00130","RCK2"
"CNA01180","CNA01180-t26_2","Cryptococcus neoformans var. neoformans JEC21","CNAG_00130","RCK2"
"CNA01190","CNA01190-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00131","N/A"
"CNA01200","CNA01200-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00132","N/A"
"CNA01205","CNA01205-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00133","N/A"
"CNA01210","CNA01210-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00134,CNAG_03157","N/A"
"CNA01220","CNA01220-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00135","N/A"
"CNA01230","CNA01230-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00136","N/A"
"CNA01240","CNA01240-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00137","N/A"
"CNA01250","CNA01250-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00138","N/A"
"CNA01260","CNA01260-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00139","N/A"
"CNA01270","CNA01270-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00140","N/A"
"CNA01280","CNA01280-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00141,CNAG_00542,CNAG_03573,CNAG_06785","N/A"
"CNA01290","CNA01290-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00142","N/A"
"CNA01310","CNA01310-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00143","N/A"
"CNA01320","CNA01320-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00144","N/A"
"CNA01330","CNA01330-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00145","N/A"
"CNA01340","CNA01340-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00146","N/A"
"CNA01350","CNA01350-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00147","N/A"
"CNA01360","CNA01360-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00148","N/A"
"CNA01370","CNA01370-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00149","N/A"
"CNA01380","CNA01380-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00150","N/A"
"CNA01390","CNA01390-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00151","N/A"
"CNA01390","CNA01390-t26_2","Cryptococcus neoformans var. neoformans JEC21","CNAG_00151","N/A"
"CNA01400","CNA01400-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00152","N/A"
"CNA01400","CNA01400-t26_2","Cryptococcus neoformans var. neoformans JEC21","CNAG_00152","N/A"
"CNA01410","CNA01410-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00153","N/A"
"CNA01420","CNA01420-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00154,CNAG_01112,CNAG_02758,CNAG_04313,CNAG_05444","N/A"
"CNA01430","CNA01430-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00155","N/A"
"CNA01450","CNA01450-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00156","SP1"
"CNA01460","CNA01460-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00157","N/A"
"CNA01470","CNA01470-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00158,CNAG_01214,CNAG_04449","N/A"
"CNA01480","CNA01480-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00160","N/A"
"CNA01490","CNA01490-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00105,CNAG_00161,CNAG_01954,CNAG_05534","N/A"
"CNA01500","CNA01500-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00162","AOX1"
"CNA01510","CNA01510-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00163","N/A"
"CNA01510","CNA01510-t26_2","Cryptococcus neoformans var. neoformans JEC21","CNAG_00163","N/A"
"CNA01520","CNA01520-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00164,CNAG_05168","N/A"
"CNA01530","CNA01530-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00165","N/A"
"CNA01540","CNA01540-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00166","DBP8"
"CNA01550","CNA01550-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00167","N/A"
"CNA01560","CNA01560-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_07314","N/A"
"CNA01580","CNA01580-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_07315","LIV6"
"CNA01590","CNA01590-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00171","N/A"
"CNA01600","CNA01600-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00172","N/A"
"CNA01610","CNA01610-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00173","N/A"
"CNA01620","CNA01620-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00174","N/A"
"CNA01630","CNA01630-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00175","N/A"
"CNA01640","CNA01640-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00176,CNAG_06603","N/A"
"CNA01650","CNA01650-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00177","N/A"
"CNA01660","CNA01660-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00178","N/A"
"CNA01680","CNA01680-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00179,CNAG_02090,CNAG_04505","GPA2"
"CNA01690","CNA01690-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00180","N/A"
"CNA01700","CNA01700-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00181","FYV10"
"CNA01710","CNA01710-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00182","N/A"
"CNA01720","CNA01720-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00183","N/A"
"CNA01730","CNA01730-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00184","N/A"
"CNA01740","CNA01740-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00185","N/A"
"CNA01750","CNA01750-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00186","N/A"
"CNA01760","CNA01760-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00187","UBP16"
"CNA01770","CNA01770-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00188","N/A"
"CNA01780","CNA01780-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00189","N/A"
"CNA01790","CNA01790-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00190","N/A"
"CNA01800","CNA01800-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00191","N/A"
"CNA01800","CNA01800-t26_2","Cryptococcus neoformans var. neoformans JEC21","CNAG_00191","N/A"
"CNA01810","CNA01810-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00192","N/A"
"CNA01820","CNA01820-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00193","GAT1"
"CNA01830","CNA01830-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00194","N/A"
"CNA01840","CNA01840-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00195","N/A"
"CNA01850","CNA01850-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_07316","N/A"
"CNA01860","CNA01860-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_07317","N/A"
"CNA01870","CNA01870-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_07318","N/A"
"CNA01880","CNA01880-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_07319","N/A"
"CNA01890","CNA01890-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_07320","N/A"
"CNA01900","CNA01900-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_07321","N/A"
"CNA01910","CNA01910-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_07322","N/A"
"CNA01920","CNA01920-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_07323","N/A"
"CNA01930","CNA01930-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02141,CNAG_02143,CNAG_07324","N/A"
"CNA01940","CNA01940-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_07325","N/A"
"CNA01950","CNA01950-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_07326","N/A"
"CNA01960","CNA01960-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_07327","N/A"
"CNA01990","CNA01990-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_07328","N/A"
"CNA01990","CNA01990-t26_2","Cryptococcus neoformans var. neoformans JEC21","CNAG_07328","N/A"
"CNA02000","CNA02000-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_07329","N/A"
"CNA02010","CNA02010-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_07330","N/A"
"CNA02015","CNA02015-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_07331","N/A"
"CNA02020","CNA02020-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_07332","N/A"
"CNA02030","CNA02030-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_07333","N/A"
"CNA02040","CNA02040-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_07334","FRE4"
"CNA02050","CNA02050-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_07335","N/A"
"CNA02055","CNA02055-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_07336","N/A"
"CNA02060","CNA02060-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_07337","N/A"
"CNA02080","CNA02080-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_07030","N/A"
"CNA02090","CNA02090-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_07029","N/A"
"CNA02100","CNA02100-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_07028","RPN11"
"CNA02115","CNA02115-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00128,CNAG_02517,CNAG_04102,CNAG_06757,CNAG_06833","N/A"
"CNA02120","CNA02120-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_05988,CNAG_07920,CNAG_07945","N/A"
"CNA02130","CNA02130-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_07027","N/A"
"CNA02140","CNA02140-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_07338","N/A"
"CNA02150","CNA02150-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_07339","N/A"
"CNA02160","CNA02160-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02126,CNAG_07340","N/A"
"CNA02170","CNA02170-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_07341","N/A"
"CNA02180","CNA02180-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_06179,CNAG_07342","N/A"
"CNA02205","CNA02205-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00814,CNAG_01367,CNAG_01369,CNAG_01370,CNAG_01787,CNAG_02176,CNAG_02392,CNAG_04060,CNAG_05487,CNAG_05987,CNAG_06590,CNAG_06955,CNAG_07358,CNAG_07786,CNAG_07787,CNAG_07819,CNAG_07946","N/A"
"CNA02210","CNA02210-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00231","N/A"
"CNA02220","CNA02220-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00232","RPL30"
"CNA02230","CNA02230-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00233","N/A"
"CNA02240","CNA02240-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00234","N/A"
"CNA02250","CNA02250-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00235,CNAG_04758","AMT1"
"CNA02260","CNA02260-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00236,CNAG_03939","N/A"
"CNA02260","CNA02260-t26_2","Cryptococcus neoformans var. neoformans JEC21","CNAG_00236,CNAG_03939","N/A"
"CNA02270","CNA02270-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00237,CNAG_02565","N/A"
"CNA02290","CNA02290-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00238","N/A"
"CNA02300","CNA02300-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00239","YAP1"
"CNA02310","CNA02310-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00240","N/A"
"CNA02330","CNA02330-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00241","N/A"
"CNA02335","CNA02335-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00242","N/A"
"CNA02340","CNA02340-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00243","N/A"
"CNA02350","CNA02350-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_07344","N/A"
"CNA02360","CNA02360-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00246","N/A"
"CNA02370","CNA02370-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00247","LYS9"
"CNA02380","CNA02380-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00248","N/A"
"CNA02390","CNA02390-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00249","N/A"
"CNA02400","CNA02400-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00250,CNAG_04963","N/A"
"CNA02405","CNA02405-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00251,CNAG_07731","N/A"
"CNA02410","CNA02410-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00252","N/A"
