SUID,shared name,name,selected,Name,GS_DESCR,GS_Type,Genes,gs_size,pvalue,fdr_qvalue,fwer_qvalue,ES,NES,Colouring
14427,GO:0003724,GO:0003724,FALSE,GO:0003724,RNA helicase activity,ENR,CND00630|CNH00280|CNM02050|CND02650|CNI02850|CNC02960|CNA06640|CNA07200|CNF01240|CNA07620|CNB01970|CNI02710|CNA07860|CNA01540|CNB05040|CNH02470|CND05090|CNJ01590|CNE00590|CNA07420|CNH02690|CNA07030|CNC06460|CNI00970|CNG03650|CNC00100|CNB01060|CNF04330|CNG01650|CNC02340|CNC06360|CNI01880|CNB00610|CND06190,34,0.0062,0.0143,0.266,-0.7544,-1.876,-0.9938
14428,GO:0045892,GO:0045892,FALSE,GO:0045892,"negative regulation of transcription, DNA-templated",ENR,CNA06620|CNA06550|CNE01490|CNH00290|CND03645|CNL04080|CNF01870|CNL05000|CNI04110|CNG00240|CNC05330|CNA07200|CNI03050|CNM01520|CNN00500|CNI03280|CND03210|CND03540|CNN00550|CNB03160|CND04520|CNF01960|CNG02110|CND04550|CND05540|CNA03840|CNB04370|CNA03420|CNA08010|CNA00400|CNG03620|CNA01820|CNB04890|CNA06710|CNB03080|CNB03300|CNC00780|CNC02990|CNC01750|CNC05810|CNC05900|CND01430|CND03250|CND03730|CND05440|CNE01280|CNE01590|CNE02030|CNE04500|CNE05010|CNE05140|CNF01160|CNF01740|CNF02900|CNH03370|CNJ00250|CNJ00280|CND05810|CNI02950|CNI03430|CNJ02920|CNK00090|CNK02070|CNK03060|CNK03070|CNM00930|CNE03830|CNK03050|CNF02840|CNA05430|CNG01230|CNE04710|CNA06070|CNC05310|CNK02230|CNF01810|CNB05360|CNF01550|CNM01210|CND01880|CNB00550,81,0,0.0098,0.18,-0.6301,-1.9064,-1
14429,GO:2000113,GO:2000113,FALSE,GO:2000113,negative regulation of cellular macromolecule biosynthetic process,ENR,CND03645|CNL05000|CNA07200|CNF01240|CND03210|CND03540|CNH02480|CND04520|CNF01960|CND04550|CND05540|CNA03840|CNA08010|CNB04890|CNC01550|CNC01750|CNE01590|CND05810|CNI02950|CNI03430|CNE03830|CNK03050|CNF00340|CNF02840|CNM02320|CNA05430|CNG01230|CNE04710|CNA06070|CNJ00415|CNH01270|CNK02230|CNL05865|CNM01210|CND01930|CNB00550|CNK02590|CNA06620|CNF03810|CNA06550|CNE01490|CNM01820|CNH00290|CNL04080|CNF01870|CNI04110|CNG00240|CNC05330|CNI03050|CNM01520|CNN00500|CNI03280|CNC02150|CNN00550|CNB03160|CNG02110|CND05090|CNB04370|CNG02640|CNA03420|CNA00400|CNG03620|CNA01820|CNA06710|CNB03080|CNB03300|CNC00780|CNC02990|CNC05810|CNC05900|CND01430|CND03250|CND03730|CND05440|CNE01280|CNE02030|CNE04500|CNE05010|CNE05140|CNF01160|CNF01740|CNF02900|CNH03370|CNJ00250|CNJ00280|CNJ02920|CNK00090|CNK02070|CNK03060|CNK03070|CNM00930|CNA00790|CNA06430|CNH01750|CNA08280|CNB03280|CNB04870|CNC02010|CNC02210|CNC03360|CNC05460|CND02660|CND04750|CND04760|CND04900|CND05580|CNF01540|CNF01680|CNF03820|CNG02835|CNG03790|CNJ01520|CNJ02470|CNK00240|CNF04360|CNL04550|CNC05310|CNL06350|CNM01100|CNN00850|CNF01810|CNG02350|CNB05360|CNF01550|CNB03010|CND01880,126,0,0.051,0.75,-0.558,-1.7668,-1
14430,GO:0032040,GO:0032040,FALSE,GO:0032040,small-subunit processome,ENR,CND05510|CNE03760|CNF04700|CNG01210|CNH02180|CND02710|CNI01790|CNL04010|CND02860|CNM00140|CNM00160|CNN00950|CNJ00090|CNB03110|CNL05200|CNE03320|CNF00090|CNL04720|CNJ01990|CNE01200|CNK00110|CNJ02290|CNI01120|CNA05930|CNA07420|CNA05935|CNB05580|CNA07530|CNB00040|CNB00540|CNE01090|CNB05270|CNB00340|CNB05450|CNG01500|CNC02340|CNC05910|CNG04380,38,0,4e-04,0.005,-0.7742,-2.0575,-1
14431,GO:0000469,GO:0000469,FALSE,GO:0000469,cleavage involved in rRNA processing,ENR,CNE02190|CNG02910|CNA02760|CNA00790|CNA08280|CNC02570|CNC02010|CNA04300|CND02660|CNA01540|CND03780|CND04200|CNG03270|CNI01730|CNN00090|CNE01710|CNF01680|CNL05200|CND04240|CNC03940|CND05090|CNF00090|CNE01810|CNF04820|CNC04880|CNJ01990|CNE00590|CNE01670|CNF01810|CNB00450|CNC02190|CNC05910|CNG04380|CNI04340,34,0,4e-04,0.005,-0.7784,-2.0778,-1
14432,GO:0045934,GO:0045934,FALSE,GO:0045934,negative regulation of nucleobase-containing compound metabolic process,ENR,CNA06620|CNA06550|CNE01490|CNH00290|CND02530|CNA02220|CND03645|CNL04080|CNF01870|CNL05000|CNI04110|CNG00240|CNK01230|CNC05330|CNA07200|CNI03050|CNM01520|CNN00500|CNI03280|CND03210|CNK03130|CND03540|CNF04670|CNG01430|CNN00550|CNH02480|CNB03160|CND04520|CNF01960|CNG02110|CND04550|CND05540|CNA03840|CNB04370|CNA03420|CNA07480|CNA08010|CNA00400|CNG03620|CNA01820|CNB04890|CNA06710|CNB03080|CNB03300|CNC00780|CNC02990|CNC01750|CNC05810|CNC05900|CND01430|CND03250|CND03730|CND05440|CNE01280|CNE01590|CNE02030|CNE04500|CNA02740|CNE05010|CNE05140|CNF01160|CNF01740|CNF02900|CNH03370|CNJ00250|CNJ00280|CND05810|CNI02950|CNI03430|CNJ02920|CNK00090|CNK02070|CNK03060|CNK03070|CNM00930|CNE03830|CNK03050|CNF02840|CNA05430|CNG01230|CNE04710|CNA06070|CNC05020|CNG04180|CNF04360|CNC05310|CNK02230|CNF01810|CNB05360|CNF01550|CNM01210|CND01880|CNB00550|CNK02590|CND03070,95,0,0.0329,0.567,-0.6166,-1.8086,-1
14433,GO:0000466,GO:0000466,FALSE,GO:0000466,"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",ENR,CNA02760|CNA00790|CNA08280|CNC02570|CNB02570|CNC02010|CND02660|CNA01540|CND03780|CND04200|CNG03270|CNI01730|CNN00090|CNF01680|CNL05200|CND04240|CNC03940|CND05090|CNF00090|CNE01810|CNB01260|CNB04640|CND00460|CNJ01990|CND03120|CNE00590|CNE01200|CNE01670|CNF02230|CNF01810|CNM01320|CNN00480|CNB00450|CNG04380|CNI04340,35,0,0.0027,0.036,-0.7614,-1.999,-1
14434,GO:0006334,GO:0006334,FALSE,GO:0006334,nucleosome assembly,ENR,CNA00540|CNA06970|CNB00560|CNI02950|CNB00570|CNL04080|CNB05610|CNC00880|CNC01110|CNA00750|CNC01610|CNE04440|CNC05330|CNJ02540|CNI03050|CNL05670,16,0.0056,0.0623,0.863,-0.852,-1.7314,-0.9944
14435,GO:0005643,GO:0005643,FALSE,GO:0005643,nuclear pore,ENR,CNA00560|CNC06695|CNC06710|CNC06860|CNJ02370|CND01750|CNB01140|CND01280|CNF01970|CNH00200|CNE02810|CNI02830|CNM00860|CNN00070|CNA01910|CND04460|CNA04010|CNB00270|CNF04670|CNC00650|CNC04330|CND03230|CND04770|CNE00190|CNF01750|CNH02390|CND01160|CNI03320|CNJ01040|CND05070|CNB04060|CNJ01760|CNL06580|CNC01510|CNK01680|CND01840|CNI01880|CNC03750,38,0.007,0.0911,0.969,-0.6293,-1.675,-0.993
14436,GO:0003735,GO:0003735,FALSE,GO:0003735,structural constituent of ribosome,ENR,CNB04730|CNB04930|CNB05510|CNC00700|CNC01030|CNA02220|CNC01900|CNC02805|CNC02880|CND02780|CNC03760|CNC04290|CND04400|CNC04305|CNC04540|CNC05240|CNC05320|CND03060|CNI03760|CND03460|CND04600|CND05700|CNE01960|CNE02160|CNE02170|CNE02690|CNE04000|CNE04980|CNF00040|CNF02140|CNF04150|CNG01450|CNG03160|CNG04360|CNH01600|CNH01605|CNH01770|CNH02050|CNH02760|CNI01050|CNI01090|CNI01480|CNI02170|CNI02560|CNI03170|CNJ01140|CNJ01410|CNJ01560|CNJ02260|CNJ02550|CNJ03110|CNJ03120|CNE02300|CNK01360|CNK02900|CNK03080|CNK03100|CNL05120|CNL05280|CNM01020|CNM02240|CNM02320|CNN01910|CND04200|CNB01910|CNB02360|CNC00350|CNC01630|CNC03010|CNC05360|CNC06990|CNE03060|CNA06350|CNG00300|CNG02920|CNJ03370|CNK02240|CNC04580|CNC06100|CND02610|CND02960|CNF00580|CND06280|CNF02270|CNB02750|CNF00670|CNJ00980|CNF01650|CNF03840|CNG02740|CNE01910|CNI02150|CND02790|CNI04340|CND04480|CNK01950|CNK03230|CNG02250|CNG03720|CNA00250|CNA01060|CNA06360|CNA06820|CNA07490|CNB02420|CNE03910|CNB04880|CNB05030|CNC03070|CNC01410|CNE03920|CNC06940|CND05910|CNA01000|CNF01790|CNF02150|CNA03330|CNG00830|CNG01090|CNA04850|CNG03520|CNA04940|CNI01120|CNA05170|CNA05210|CNJ01920|CNA05910|CNA06200|CNL03960|CNA06500|CNN01720|CNA07010|CNA07570|CNA07960|CNA07980|CNB02740|CNB02870|CNB03010|CNB04500,139,0,0.0024,0.031,-0.6303,-2.0034,-1
14437,GO:0000470,GO:0000470,FALSE,GO:0000470,maturation of LSU-rRNA,ENR,CNA06360|CNB02220|CNA07490|CNB02570|CNC04220|CNC05560|CNC01420|CND02475|CNC03070|CNE03920|CNH02040|CNJ00650|CNE01710|CND04240|CNC02820|CNF04820|CNB01260|CNB04640|CNC04880|CND00460|CND03120|CNE00590|CNE01670|CNF02230|CNF01810|CNH01340|CNM01320|CNN00480|CNH02690|CNB01060|CNG01500,31,0,7e-04,0.009,-0.827,-2.0407,-1
14438,GO:0051253,GO:0051253,FALSE,GO:0051253,negative regulation of RNA metabolic process,ENR,CNA06620|CNA06550|CNE01490|CNH00290|CND02530|CNA02220|CND03645|CNL04080|CNF01870|CNL05000|CNI04110|CNG00240|CNC05330|CNA07200|CNI03050|CNM01520|CNN00500|CNI03280|CND03210|CND03540|CNF04670|CNG01430|CNN00550|CNB03160|CND04520|CNF01960|CNG02110|CND04550|CND05540|CNA03840|CNB04370|CNA03420|CNA08010|CNA00400|CNG03620|CNA01820|CNB04890|CNA06710|CNB03080|CNB03300|CNC00780|CNC02990|CNC01750|CNC05810|CNC05900|CND01430|CND03250|CND03730|CND05440|CNE01280|CNE01590|CNE02030|CNE04500|CNA02740|CNE05010|CNE05140|CNF01160|CNF01740|CNF02900|CNH03370|CNJ00250|CNJ00280|CND05810|CNI02950|CNI03430|CNJ02920|CNK00090|CNK02070|CNK03060|CNK03070|CNM00930|CNE03830|CNK03050|CNF02840|CNA05430|CNG01230|CNE04710|CNA06070|CNC05020|CNC05310|CNK02230|CNF01810|CNB05360|CNF01550|CNM01210|CND01880|CNB00550|CND03070,88,0,0.0124,0.229,-0.6169,-1.8885,-1
14439,GO:0042273,GO:0042273,FALSE,GO:0042273,ribosomal large subunit biogenesis,ENR,CNA06980|CNA07310|CNA07990|CND03550|CNA08220|CNA04950|CNB00600|CNI03640|CNA06470|CNJ00650|CNB01910|CNH00700|CNB02360|CNN00090|CNB02830|CNB03680|CNN01880|CNC00350|CND04240|CNC00500|CNC01060|CNC01630|CNC02820|CNB01260|CNC03010|CNB04640|CNC05360|CNC04880|CNC05710|CNC06990|CND00460|CND03120|CNE00590|CND05450|CNE01670|CNF02230|CNE03060|CNH01340|CNG00300|CNM01320|CNG01700|CNN00480|CNG02920|CNH02690|CNJ01380|CNJ03370|CNK02240|CNB01060|CNC00240|CNG01500|CNJ00230|CNF02580|CNJ02260|CNG01950|CNH01320|CNA03780|CNA06360|CNB02220|CNA07490|CNB02570|CNC04220|CNC05560|CNC01420|CND02475|CNB05030|CNC03070|CNE03920|CND02300|CNH02040|CNE01710|CNF04820|CNF01790|CNF01810|CNB05550,74,0,0,0,-0.7605,-2.212,-1
14440,GO:0006606,GO:0006606,FALSE,GO:0006606,protein import into nucleus,ENR,CNE05060|CNA00560|CNC06695|CNC06710|CNC06860|CNB01140|CND01280|CNH00200|CNI02830|CNM00860|CNN02160|CND03210|CND04460|CNA04010|CNE02890|CNA04220|CNC00650|CNC04330|CNC02070|CNC07000|CND03230|CND04770|CNF01750|CNG00250|CNH00700|CNH01440|CNH02390|CND01160|CNJ01040|CNE01010|CNL06420|CNE03370|CNN00170|CNB04060|CNF00890|CNL06580|CNC01750,37,0,0.0635,0.861,-0.643,-1.7319,-1
14441,GO:0042274,GO:0042274,FALSE,GO:0042274,ribosomal small subunit biogenesis,ENR,CND02780|CNC02570|CNJ00090|CNN00700|CNA08220|CNB03110|CNG02750|CNA01540|CNG04080|CND03780|CND04200|CNG03270|CNI01730|CNN00090|CNL05200|CNN01780|CNB04100|CNB01260|CNE01200|CNA05930|CNA05935|CNA07030|CNB05580|CNA07530|CNA08230|CND02550|CNB00040|CNB00450|CNG03650|CNB00540|CNC06100|CNB01060|CND02960|CNB01090|CND06280|CNE01090|CNB02750|CNF00670|CNB05270|CNF01650|CNB05450|CNF03840|CNG01500|CNC02190|CNG00800|CNC02340|CNG02740|CNC05910|CNG04380|CNC06360|CNI02150|CND02790|CNI04340|CND04480|CNK01950|CND05510|CNK03230|CNE02190|CNE03760|CNC01960|CNF04700|CNG01210|CNG02245|CNG02250|CNG02830|CNG02910|CNG03720|CNH02180|CNI01530|CNI01790|CNI02850|CNL04010|CNM00140|CNM00160|CNL03890|CNN00950|CNN01370|CNA00950|CNC01420|CNA04300|CNC06340|CNH02460|CNN01500|CNF00090|CNL04720|CNJ00110|CNJ01990|CNN01050|CNI01120|CNM02290|CNB00340,91,0,1e-04,0.001,-0.7313,-2.1394,-1
14442,GO:0140102,GO:0140102,FALSE,GO:0140102,"catalytic activity, acting on a rRNA",ENR,CNF03010|CNI01820|CNJ00110|CNJ01990|CNJ02130|CNK00110|CNA02480|CNB02220|CNB02570|CNB05130|CNB05160|CNC01420|CNC04020|CND02300,14,0.0033,0.0912,0.975,-0.7809,-1.6694,-0.9967
14443,GO:0051539,GO:0051539,FALSE,GO:0051539,"4 iron, 4 sulfur cluster binding",ENR,CNG01590|CNE03090|CNH01530|CNG03480|CNK01430|CNK00950|CNA04420|CND02620|CNB01310|CNE03980|CNL05770|CNC02920|CNM01770|CNL05500|CNJ01730|CNF03970|CNA00720|CNA04710|CNK00580|CNB05220|CNA00660|CND04070|CNB03700|CNE01920|CNE02800|CNL04340|CNG01900|CNK00560|CNA02270|CNI03410|CNF04130,31,0,0.0107,0.052,0.9418,1.6151,1
